"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SNHNL","Senior Housing Properties Trust","25.68","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/snhnl",
"AIHS","Senmiao Technology Limited","0.2838","$7.87M","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/aihs",
"SRTS","Sensus Healthcare, Inc.","5.68","$93.7M","2016","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/srts",
"SRTSW","Sensus Healthcare, Inc.","n/a","n/a","2016","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/srtsw",
"STNL","Sentinel Energy Services Inc.","10.3","$444.19M","2017","Finance","Business Services","https://old.nasdaq.com/symbol/stnl",
"STNLU","Sentinel Energy Services Inc.","10.297","n/a","2017","Finance","Business Services","https://old.nasdaq.com/symbol/stnlu",
"STNLW","Sentinel Energy Services Inc.","0.0089","n/a","2017","Finance","Business Services","https://old.nasdaq.com/symbol/stnlw",
"SQBG","Sequential Brands Group, Inc.","0.395","$25.83M","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/sqbg",
"MCRB","Seres Therapeutics, Inc.","3.72","$260.08M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mcrb",
"SVC","Service Properties Trust","25.35","$4.17B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/svc",
"SREV","ServiceSource International, Inc.","1.19","$111.96M","2011","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/srev",
"SFBS","ServisFirst Bancshares, Inc.","36.17","$1.94B","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/sfbs",
